-0:13 | (Member (2 months)) シキマリ: :_AlbanIKZ::_AlbanIKZ::_AlbanIKZ:
43:08 | (Member (2 months)) coco: □□□
43:08 | cer'sky: TSKR!!!!!
43:08 | Aki Lui: TSKR
43:08 | 砂凪: おにぃ召されとる…
43:08 | Rieya: it's like ur patting my head tskr
43:08 | (Member (2 months)) mayukoro: □□
43:08 | gabrielle: AW BABYYY
43:08 | KayKay: AHHHHHHHH
43:09 | (New member) ゆん: さにぃがしんじゃう；；
43:09 | (Member (2 months)) Rainbrowz: □
43:10 | (Member (2 months)) mono drama: □□□
43:10 | (New member) リーシャ: 隊長大丈夫？
43:11 | (Member (2 months)) えいりちゃんEiri-chan: しぬ
43:11 | KuroiTenshi : SWEET TENCHOU TSKR
43:11 | みん。: tskrrr
43:11 | (Member (1 month)) イロハ: 隊長死ぬときはいっしょですよ
43:11 | (Member (2 months)) McKats: the transitions are sooooo good!!!
43:11 | 𝙏𝙊𝙍𝙊𝙍𝙊: I'm die ...
43:12 | solony hiacynt: i think I relaxed a little bit too much I'm so sleepy:sneezing_face::orange_heart:
43:12 | Skyler: :orange_heart::orange_heart::orange_heart:
43:12 | (New member) lifeon: □□□
43:12 | (Member (1 month)) Pon Peke: :_AlbanWhat:
43:12 | PL Kazo: :flushed_face::orange_heart::orange_heart:
43:12 | ann: I'm dying thanks alban
43:13 | 凛: この時間が一生続けばいい
43:13 | (Member (2 months)) Keru: □□□
43:13 | Lemony: :smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
43:14 | 蒼Love: （ ; ; ）
43:14 | yong liu: tskr
43:14 | み: たいちょ~生きて
43:15 | ももせ: サニーくん居るの嬉しい！！！
43:16 | おくら: 集団霊園
43:16 | Jade💐: Sooo relaxing.....
43:16 | (New member) cyan: □□□
43:16 | (Member (2 months)) 🎭 Hirai Aki 🕒: tskr
43:16 | 三毛ランジェロ: サニー生きてる？
43:16 | (Member (2 months)) Sylvia Green: TSKR:folded_hands::folded_hands::folded_hands:
43:16 | (Member (1 month)) ゆうき-yuki: なでなでtskr□□
43:17 | (Member (2 months)) 東-あずま: □□
43:17 | (New member) Cuddle: my ears so blessed right now:_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
43:17 | (New member) NongTen: □□□
43:17 | にこ: :sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart:
43:17 | shans shans: Tskr
43:18 | (Member (2 months)) Mini ⭐️: ahhhh i love thiiiiiiiiiiis 
43:18 | (Member (1 month)) LaanMao: □□□
43:18 | (Member (2 months)) Arella : □□□
43:19 | ふず: tskr
43:19 | d3stinyyz: TSKRRLAJSHDLJAS
43:19 | _ Haruka: なでなでなでなで
43:19 | Nayla: Sonny is not daijoubu
43:20 | H a n i w a: まとめて いい子 いい子されてます。
43:20 | Ailirosey 70: tskr
43:20 | tanimqtamo: yoshi yosh
43:20 | (New member) miru: サニーどこ？！
43:21 | み: おにぃ召されとるやん
43:21 | Gracie: Tskr..
43:21 | 瑜兒•Δ•: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
43:22 | (Member (2 months)) roji: □□□
43:23 | Yu _ K: たいちょーはTakaradatiの鏡、、
43:23 | (Member (2 months)) Artistic Being: TSKR
43:23 | (Member (2 months)) 。ゆりか: TSKR🙏🏻
43:23 | (Member (1 month)) ley: □□□
43:23 | Rieya: im getting tingles
43:23 | Tiffy 🎭♦️: LMAO
43:23 | (Member (1 month)) Pon Peke: :_AlbanDekopin::_AlbanDekopin::_AlbanDekopin:
43:23 | Milo: TSKRRRR:orange_heart:
43:23 | (New member) 玉露 Gyokuro: □□□
43:24 | 狗拿_浩子: 刚刚有亲亲
43:24 | Miss Mercurial: fanartists eating GOOD today
43:24 | 桃香: なでなでよしよし
43:25 | (Member (1 month)) ちーちゃん: ばぶぅ、、、
43:25 | 귄로하: tskrrr
43:26 | Qing: 隊長 大丈夫？
43:26 | 139 sakuya: †┏┛墓┗┓†
43:26 | (Member (2 months)) 夜雪 ye xue: □□□
43:26 | yukinonari: TSKR :red_heart:
43:27 | (Member (2 months)) tokimiharu: □□
43:27 | Kaia 🌝: 我愛你:red_heart:寶貝:red_heart::red_heart::loudly_crying_face::loudly_crying_face:
43:27 | Astr morey: tskr
43:27 | 林恩瑄: 聽不膩了！
43:27 | (Member (1 month)) みゅか: なでなでTSKR
43:28 | Elly Tseng: なでなで
43:29 | (Member (2 months)) Mini ⭐️: □□□
43:29 | Chachaiii: :hot_face:
43:29 | Shenhan: Just imagine I am Sonny
43:29 | 岩本公美子: なでなでありがとぉおおおお!
43:29 | (New member) SUNNY: SONNY DONT FORGET TO BREATHE
43:30 | PL Kazo: IM WEAK AT NADE NADE :loudly_crying_face::loudly_crying_face::loudly_crying_face:
43:30 | 橘 青葉-Aoba: R.I.P TAICHOU
43:30 | (New member) Fluffy YaEn🐰: □□□
43:30 | chris._.: what a blessing day
43:30 | (New member) Sowawu: :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
43:30 | mi ho: とうとい:loudly_crying_face::loudly_crying_face::loudly_crying_face::orange_heart::orange_heart::orange_heart:
43:30 | ハヴィ[Javi]: OMG:pleading_face::orange_heart:
43:30 | Snow_羊兒: Otsuuuuuuu
43:31 | KayKay: KAWAIIII:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
43:31 | (Member (1 month)) ALISA🥀🌙: :coffin::coffin::coffin:
43:33 | (Member (1 month)) あやなてやん!: おつかれさまたすかる
43:33 | SH_R5: TSKR :loudly_crying_face::orange_heart::yellow_heart::orange_heart::orange_heart::orange_heart:
43:33 | (Member (1 month)) Reizo: □□□
43:33 | (Member (2 months)) Misa-chanみさ: OMGGG TSKRRRRRRRRRRRRRRRR
43:33 | (New member) めちゃん: □□□
43:34 | あや: サニーもみてると思わなかったw2人ともLove
43:34 | BunBun: IM CRYING
43:34 | わらびもち: tskrrrrrrrr!!!!!!!!
43:35 | Miaaaaaaa: tskr
43:35 | 鹤索hesuo: thank you!
43:35 | Brownie: tskr:smiling_face_with_halo:
43:35 | (Member (2 months)) Chloe Senzai: I did my best. thank youuu
43:36 | (Member (1 month)) ちぃ: 耐えられません
43:36 | (New member) Beechou: □□□
43:36 | めう: ありがとう
43:36 | MR. RIAS: oh fucj i thought the chat was quiet
43:37 | Mancy Wong: Someone help me pls
43:38 | ゆき: Sonnyban助かる。
43:38 | Momo Star: tskr
43:38 | (Member (2 months)) Mitchie Soren: I’m iiko?? REAL????
43:38 | 龜甲萬咬你: (๑♡⌓♡๑)(๑♡⌓♡๑)(๑♡⌓♡๑)(๑♡⌓♡๑)(๑♡⌓♡๑)(๑♡⌓♡๑)(๑♡⌓♡๑)(๑♡⌓♡๑)
43:38 | (New member) てぴ: げんきでる
43:38 | Luna Nightwalker 🌙💫: TSKRRR
43:39 | めい: 隊長も耳妊娠したのかな…
43:39 | 陽: セリフリクエストできたら100%死人出ちゃうやつや
43:39 | Aki Lui: AWWWWW
43:39 | yun: :face_blowing_a_kiss:
43:39 | 楽楽: tskr///
43:39 | (Member (1 month)) ちーちゃん: おぎゃあおぎゃあ…
43:39 | yukinonari: Otsukareeeeee
43:39 | Memong [メイ]: awwwww
43:40 | (Member (2 months)) るき: これ今日何人召される？
43:40 | si loi lam: I’m sleepy now but I’m not finish my homework.:smiling_face_with_tear:
43:40 | (Member (2 months)) Keru: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
43:40 | 貓貓能有什麼錯: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
43:41 | Clover: Sheeeeeeesh
43:41 | 旺太郎: tskr:smiling_face_with_halo:
43:41 | 晴: Tskr!!!!!!!!!!!!!!:smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes::smiling_face_with_heart_eyes:
43:41 | tanimqtamo: my ears omggg
43:41 | Rieya: you're doin' good TSKR
43:41 | (New member) Kaenya: I think Sonny ascended
43:41 | KuroiTenshi : :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
43:42 | (New member) Soli lizz: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
43:42 | (New member) Alceowww: OYYYY
43:42 | Xu Lin: Tskr
43:42 | (Member (2 months)) CristalFlower: :orange_heart::orange_heart::orange_heart:
43:42 | Nicole: 死了死了
43:42 | C: OMG I'M WEAK
43:42 | (New member) cyan: TSKR
43:42 | (Member (1 month)) Pon Peke: □□□
43:43 | (Member (2 months)) yammie ヤミー: Tskrr
43:43 | chris._.: shesshhhh
43:43 | (New member) ねぎねぎ: おにいちゃんたすかる
43:44 | Elly Tseng: tskr
43:44 | FLOOF: TSKRRR
43:44 | 安澄おかゆ: かいせん？
43:44 | Lynne-on: awwwwwwww
43:44 | hamtokkie: AAAAAAA
43:44 | oni: OTSUKARE！！！！！！！
43:44 | gabrielle: AWWW TSKR
43:44 | よるよる: omg！！！！！！
43:44 | さかなsakana_yig: ohhhhhh
43:45 | なる: 永久保存版
43:45 | BunBun: LMAOOOO
43:45 | KayKay: WAAAA:loudly_crying_face::loudly_crying_face::loudly_crying_face:
43:45 | ジュディ Judy: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
43:45 | (New member) 梶村ゆゆゆ[YUYUYU]: 全肯定あるばにゃん
43:46 | Lexa: tskr ///
43:46 | (Member (1 month)) LaanMao: □□□
43:46 | CYT: tskr
43:46 | (New member) Sora usagi: Omg
43:46 | (Member (2 months)) Ryou: □□□
43:46 | Nguyễn Hiệp: oniiiii channn
43:46 | (Member (2 months)) アイス: HOW MANY TIMES DID I DIE TODAY ONG TSKRRR
43:47 | (Member (2 months)) さき: まってサニーに対してかと思ってたのに
43:47 | PL Kazo: YAATTTTTTTAAAAAAA
43:47 | (Member (2 months)) お菓子屋: ありがとうありがとう
43:47 | Reikyu _: TSKR
43:47 | someone: that's for sonny
43:48 | めう: tskr
43:48 | Milo: AYO
43:48 | Ailirosey 70: onii chan
43:48 | (Member (1 month)) PikaWei🍟 OvO: Tskr 
43:48 | Mumei: Tskrrr
43:48 | (New member) inari: 弟バーン好きすぎる
43:48 | みん。: 破壊力ヤバい
43:48 | Silver Jackson: pat pat (◍•v•◍)
43:48 | ㅇㅇ: :orange_heart::orange_heart::orange_heart:
43:49 | Ninaღ にな: TSKRR 
43:49 | Tiffy 🎭♦️: 墓地...，
43:49 | ruyi liu: aaaaaaa
43:49 | chris._.: TSKR
43:49 | (New member) Yukihiko: TSKR
43:49 | shans shans: :hot_face::hot_face::hot_face::hot_face:
43:49 | (Member (2 months)) Sylvia Green: OMG:_AlbanCry::_AlbanCry:
43:50 | (Member (2 months)) McKats: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
43:50 | d3stinyyz: otsuu
43:50 | 砂凪: tskr
43:50 | 黃郁玲: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
43:50 | ChuChu: TSKRRRRR
43:50 | Lynne-on: kawaii
43:50 | ching123OOO: tskr
43:50 | h7310: おにぃちゃんTSKR…🙏🏻
43:50 | 스타아아아: I have to go now :( good bye and stay relaxed 
43:51 | (Member (2 months)) blue cherry: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
43:51 | (New member) めちゃん: ありがとうすぎ
43:51 | (Member (2 months)) Misa-chanみさ: さま?
43:51 | Yedda: tskr onee-chan tskr:tired_face::sparkling_heart:
43:51 | LL: tskr ~~~
43:51 | (New member) Alceowww: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
43:51 | (Member (1 month)) Felica: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
43:51 | vanilla puppy: TSKR..
43:52 | (New member) なつめろす: なでなでありがとう…
43:52 | FeenikX: I THINK I JUST CAME
43:52 | (Member (2 months)) めかぶちゃん: お兄ちゃんクリティカルヒット
43:52 | Immortal In Well: oh sheeeeeeeeeesh this is TINGLY
43:52 | りた: ありがとうございましt
43:52 | Jing: aaaaaaaa :orange_heart::orange_heart::orange_heart:
43:53 | Jade💐: Tskr啊啊啊欧豆豆
43:53 | Memong [メイ]: Sonny are you feeling? haha
43:53 | Godzi_la_best: oh my Tskr
43:53 | (New member) summer夏: □□□
43:53 | (New member) てぴ: □
43:53 | よるよる: :smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo::smiling_face_with_halo:
43:53 | 岩本公美子: おぎゃああ
43:53 | 甜甜tiantian: tskr
43:54 | (Member (2 months)) Nana.___.‪: :_AlbanCry::_AlbanCry::_AlbanCry:
43:54 | 美晴: 末っ子かいかわええなおい:loudly_crying_face::loudly_crying_face::loudly_crying_face:
43:54 | Kimmy: UR SO CUTE IM CRYING
43:54 | my comment: TSKRRRR
43:55 | Sheng Ting luo: TSKR
43:55 | (Member (1 month)) Himawari🌻ニャ!!: :_AlbanBlessed::_AlbanBlessed:
43:55 | (Member (2 months)) 麻久【asahisa】: □□□
43:55 | (New member) Reppepmint: Oh god I love this so much:_AlbanCry:
43:55 | lorilu: OMG SO CUTE
43:55 | (Member (2 months)) Naga: □□□
43:55 | Skyler: tskr
43:55 | Ailirosey 70: tskr
43:56 | チーズちゃん: tskr！！！！！
43:56 | Mancy Wong: :coffin::coffin::coffin::coffin:
43:56 | H a n i w a: 🈂兄 聴いてると思ったらリラックスしてきたわw
43:56 | YuanYuan媛媛: 隊長、しっかりにして
43:56 | 貓貓能有什麼錯: My God, I call my sister
43:56 | (New member) noname🎭: thank youu i did my best
43:56 | 𝓢𝓱𝓮𝓻𝓪: tskr
43:57 | はるのん(陽): TSKR:orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
43:57 | (Member (1 month)) kanae: 全世界弟代表アルバーン…
43:57 | (New member) ねこぴ: 隊長生きて…
43:57 | Elly Tseng: :face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss::face_blowing_a_kiss:
43:57 | 莊均復: TSKR！！！！！！我要瘋啦
43:57 | (New member) らむえりー🎭🕒: oh nyooooooooooooooooo
43:57 | あや: なでなでありがとう！！！お疲れありがとう！！！
43:57 | (New member) Violeta Marva S: ayo?
43:58 | ふゆたけ: Yup Sonny is eating some good food rn
43:58 | (New member) 咎音いろ: 癒し…
43:58 | KayKay: :beating_heart::beating_heart::beating_heart::beating_heart::beating_heart:
43:58 | Hakkarin: Tskr..
43:58 | nai quoqi: tskr
43:59 | 晴: Tskrrrrrrrr!!!!!!!!!!!!
43:59 | Likka六花: 効くううう
43:59 | (New member) わかな: これ以上尊死者を出さないでくれ:_AlbanAwawa::_AlbanAwawa::_AlbanAwawa:
43:59 | ひにょもにょ: awwwwwww
43:59 | Snow_羊兒: 感覺今天要睡不著了
44:01 | ジュディ Judy: tskrrrrrr
44:01 | Chachaiii: thanks
44:01 | (Member (2 months)) Jhe: :_AlbanCry::_AlbanCry::_AlbanCry:
44:01 | (Member (2 months)) Nana.___.‪: TSKR
44:01 | (New member) MiaMia: 耐えられないデス
44:01 | (Member (2 months)) yammie ヤミー: Awwwwww
44:01 | Yu _ K: 逆になでなでさせてええ
44:01 | (New member) inari: Thanks:loudly_crying_face::orange_heart:
44:02 | Xiashi: I- :flushed_face:
44:02 | 阿醬AJam: tskr
44:02 | ハピ: 生きててよかった
44:02 | (Member (2 months)) めかぶちゃん: お兄ちゃん、emotionalﾀﾞﾒｰｼﾞ
44:03 | Owlowl Akaashi: omggggg i feel sleepy :pleading_face:
44:03 | tanimqtamo: tskrrrr
44:03 | yumi yuki: TSKR
44:03 | (Member (2 months)) Reishi🎭🐾: I'M STILL DYING SBSBD
44:03 | tin ★: TSKRRR
44:03 | Kirsten: ( ͡°ᴥ ͡° ʋ)
44:04 | Mia: :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
44:04 | (Member (2 months)) えいりちゃんEiri-chan: はあ…息切れしちゃうよ
44:04 | (New member) 𝟛 𝟡ち: たすかる:loudly_crying_face:
44:06 | Ailirosey 70: yes
44:06 | しゅうしゃん: おつかれたすかる
44:06 | Naochan: I'M ASCENDING :loudly_crying_face::orange_heart::orange_heart::orange_heart:
44:06 | (Member (2 months)) まめた: :_AlbanCry:
44:06 | k4🌱: TSKR
44:06 | Zenthia T: Awe u 2
44:06 | (Member (1 month)) ジュウ Rou: OMG 
44:07 | Mitlein: TSKRRRRR
44:07 | み: 助かる
44:07 | ciela: no u
44:07 | (Member (2 months)) Keru: :_AlbanCry::_AlbanCry::_AlbanCry:
44:07 | KayKay: :sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart::sparkling_heart:
44:07 | (Member (2 months)) さき: □□□
44:07 | Yedda: tskr
44:07 | Del Mar: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
44:08 | (Member (2 months)) 。ゆりか: □□□
44:08 | fed chan: tskrrr
44:08 | Mr DmarDX: TSKR Dill-sama
44:08 | (New member) Cuddle: □□□
44:08 | yun: TSKRRRRR
44:08 | (New member) てぴ: □□□
44:08 | (New member) SUNNY: alban nyaaa im so nya nya right now
44:08 | よるよる: Love you alban！！！
44:09 | Tabby: MY HEARTTT
44:09 | (New member) にゃんにゃんこ: □□□
44:10 | (Member (1 month)) Ling🔗🎭: :yellow_heart::orange_heart:
44:10 | 皐月さん: おねえちゃんｔｓｋｒ！！！！！！
44:10 | (New member) Louis: TSKR
44:10 | Miss Mercurial: also, ty for ASMR content that isn't thirsty! I don't get the tingles but I do love falling asleep to them
44:10 | tanimqtamo: awwwwwww :pleading_face:
44:11 | (Member (1 month)) kanae: みんなの、おとうと
44:12 | 龍燁RyuHime: ありがとう:orange_heart:
44:12 | ムックル: omg
44:12 | chris._.: y-yabai
44:12 | solony hiacynt: Omg I do thank you :sneezing_face::orange_heart:
44:12 | (Member (2 months)) 夜雪 ye xue: awwwww
44:12 | Mayra Barria: awwww
44:13 | venni: TSKRRRR
44:14 | (Member (2 months)) freckle: SO R U
44:14 | Ailirosey 70: thank
44:15 | (Member (2 months)) Lily(MarshmallowBunny)🐇: :_AlbanCry::_AlbanCry::_AlbanCry:
44:15 | (New member) Granny Mic: tskr
44:15 | Rieya: TYSM BABYYYU
44:15 | ねむ_: なでなでtskr！！！！！
44:15 | mayura: thankyou i die now
44:15 | d3stinyyz: AWW THANK YOU!! :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
44:15 | (New member) S Merry: □□□□□
44:16 | (Member (1 month)) Yam -ヤム: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
44:16 | るり: 死ぬ
44:16 | (Member (2 months)) Misa-chanみさ: English の方もTSKR
44:16 | Aki Lui: AWWWWW
44:16 | (Member (1 month)) Maliciousli 🧸: THANK YOU ALBAN HHHHH :_AlbanCry::_AlbanCry:
44:16 | Daiwai: you too:orange_heart::orange_heart::orange_heart:
44:16 | Miaaaaaaa: Thank uuuuuuuu :loudly_crying_face::loudly_crying_face::loudly_crying_face:
44:17 | bruh: omg thank you:(((
44:17 | yun: IM GOIBG TI DIE
44:17 | 莊均復: :hot_face::hot_face::hot_face::hot_face:ALBAN!!!!!啊啊啊啊啊啊啊啊啊
44:17 | み: これ以上死者出さないで…
44:17 | Mitlein: :loudly_crying_face:
44:17 | shans shans: Tskr
44:18 | (Member (2 months)) 夜雪 ye xue: □□□
44:18 | (New member) Bunny Brisko: □□□
44:18 | (Member (2 months)) さき: :_AlbanCry::_AlbanCry::_AlbanCry:
44:18 | 賴安: Are you OK now?Sonnywwww
44:18 | (New member) Cuddle: □□
44:19 | MR. RIAS: naur you actually gonna make me cry :pleading_face:
44:19 | (Member (1 month)) ley: AHH:_AlbanCry::_AlbanCry::_AlbanCry:
44:19 | yukinonari: uuuuuugh
44:19 | (New member) MiaMia: He said the magic word
44:20 | Chachaiii: Ashajakwjdnakjdjajsjskaakak
44:20 | Rika リカ: hehe i did nothing today..
44:20 | (Member (2 months)) Teresa: □□
44:20 | chonthicha: takr
44:20 | Tiffy 🎭♦️: 尊
44:20 | 旺太郎: ｵ………(絶命)
44:21 | NANDEMONAI_: ARA ARA:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
44:21 | (Member (2 months)) Open Open: □□□
44:21 | (Member (2 months)) Eugenekoh12: :_AlbanNya::_AlbanNya::_AlbanNya:
44:21 | 奏楽。: ああああああああたすかる、、
44:21 | アット: しんでまうて…すき…
44:21 | (Member (2 months)) Huiwww: arigatooouuu:_AlbanCry:
44:22 | cream soda: Tskr!!!!!
44:22 | Ninaღ にな: TSKRR 
44:22 | Ming Nhat: Tskrrr:loudly_crying_face:
44:22 | KuroiTenshi : BOY I`M SUPPOSED TO SURVIVE THIS????? IT`S SO SWEET I LOVE IT:orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
44:23 | azarine: awwwww
44:23 | (Member (2 months)) Keru: I'm gonna cry for real....
44:23 | (Member (2 months)) Ryou: □□
44:23 | (Member (1 month)) Ranicchi: thank you :_AlbanNya::_AlbanNya:
44:24 | Dita Safarini: Tskr... Nooo this is more like tasketeee... AAAAAK MY EAR :loudly_crying_face::loudly_crying_face::two_hearts:
44:24 | kiwi: TSKR
44:24 | ああ: ありがとう:loudly_crying_face:
44:24 | sijia_KKK: :orange_heart::orange_heart::orange_heart::orange_heart:
44:24 | Michael Makes an ENTRAAANCE: you're gonna make me cry
44:24 | にこ: TSKR
44:25 | (Member (2 months)) お菓子屋: :_AlbanCry::_AlbanCry::_AlbanCry:
44:25 | ちくわ: 翻訳:今日はほんとに頑張ったんだね。すごいことをしてたんだね。君たちのことが誇らしいよ
44:25 | Ailirosey 70: thank baby
44:25 | (Member (1 month)) ララ ʕ •ᴥ•ʔ: TSKR
44:25 | DeadLockShadow 89: thanks
44:25 | (Member (2 months)) Sylvia Green: No, you're amazing:_AlbanCry:
44:25 | Yohan Yu: :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
44:25 | (Member (2 months)) Luna: omg
44:25 | (New member) 〈shinozaki〉: □:_AlbanHype:□□:_AlbanHype:□
44:25 | (New member) YU JING: :loudly_crying_face::loudly_crying_face::loudly_crying_face:
44:25 | Biku: NO U! :orange_heart:
44:25 | ruyi liu: ty
44:25 | (Member (2 months)) blue cherry: :_AlbanCry::_AlbanCry::_AlbanCry:
44:26 | (Member (2 months)) さき: おぎゃあ
44:26 | (New member) まっちゃ: わたしはすでにめされている
44:26 | tanimqtamo: were proud of u too :pleading_face:
44:26 | 鹤索hesuo: thank you
44:27 | (Member (2 months)) Reishi🎭🐾: ... thank you kiddo
44:27 | Starry: ONICHAN-
44:27 | murong su: I love you Alban
44:27 | sei: no u
44:27 | (New member) Miles: OMG ㅠㅠㅠ
44:27 | 藍藍路LonaBlue🐑: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
44:27 | ℓαυяєℓ .: TSKRR:loudly_crying_face::orange_heart:
44:28 | Lanni_Love★: I'm I'm.... Am I in Heaven??
44:28 | kuku🔮🔗: :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
44:28 | HIKARI: この音すき
44:28 | (Member (2 months)) Keru: :_AlbanCry::_AlbanCry::_AlbanCry:
44:28 | (New member) KAKI🐿🌿: im crying:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
44:29 | (New member) てぴ: かわいいです
44:29 | (New member) 🎀 Lyrit 🎀: Really?:_AlbanCry:
44:29 | Chachaiii: THANK YOU
44:29 | Memong [メイ]: nya nya
44:29 | Riko: サニーの安否が気になるww
44:29 | しおさん: ワイ、死亡のお知らせ
44:29 | (Member (2 months)) 🎭 Hirai Aki 🕒: :_AlbanCry::_AlbanCry::_AlbanCry:
44:30 | (Member (2 months)) CristalFlower: :pleading_face::orange_heart:
44:30 | 美晴: 私頑張ってる…頑張ってるよね…:loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
44:30 | (New member) Rak🌟🌟: □□□
44:30 | (Member (2 months)) 夜雪 ye xue: □□□
44:30 | Godzi_la_best: prrrr~
44:30 | (New member) Cuddle: □□□
44:30 | PL Kazo: awwwww thankyouuuu
44:30 | rai ☆: :orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
44:30 | 𝙕𝙄𝙉𝙉: love you :red_heart::red_heart:
44:31 | (New member) FREEDOM五条: ありがとう……
44:31 | syacchan【しゃっちゃん】: AAAAA THANK U
44:31 | ひにょもにょ: OMG I LOVE U
44:31 | Tank Phạm: ONI CHAN PLSSSSSS
44:31 | sunmoon サンムーン: this is so cute :loudly_crying_face::loudly_crying_face:
44:31 | pretzel: awwww :loudly_crying_face:
44:32 | PomeloCO: TSKR
44:32 | (Member (2 months)) Ryou: ありがとう
44:32 | Zelera Winters: :loudly_crying_face::loudly_crying_face: thank you alban..
44:32 | み: たすかる
44:33 | yukinonari: wholesome asmr lets gooooooo
44:33 | Tiffy 🎭♦️: thank u
44:33 | 和風ハンバーグ: 地球に生まれてきて よかったああああああ
44:34 | (Member (1 month)) Felica: □□□
44:34 | (New member) ねぎねぎ: 心臓の残機足りない
44:35 | iovehajime: thank you so much omg:orange_heart::loudly_crying_face::loudly_crying_face:
44:35 | (Member (2 months)) yammie ヤミー: □□
44:36 | Common Kuma: :flushed_face:
44:36 | (New member) Arukine: :_AlbanBlessed::_AlbanBlessed::_AlbanBlessed:
44:36 | Xiashi: crying brb
44:36 | Tiffany Lum :D: I love u oh god
44:36 | 狗拿_浩子: 第一次死得这么彻底
44:37 | 陽: 7000人分の共同墓地作ろうね
44:37 | Tank Phạm: :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
44:37 | Snow_羊兒: We proud of you too:orange_heart::orange_heart::orange_heart::orange_heart::orange_heart:
44:38 | Stargaazes: Sonny out cold fr
44:38 | 瑛/あきら: つよくいきて、、、、
44:38 | 糖手信: TSKR
44:38 | (New member) inari: I’m proud of you too Alban:crying_face::sparkles:
44:38 | (Member (1 month)) Arie アリ: Thank you :_AlbanBlessed:
44:39 | (Member (2 months)) Jhe: □□□
44:39 | Mitlein: thank you :loudly_crying_face::loudly_crying_face::loudly_crying_face:
44:39 | ジュディ Judy: ありがとう:orange_heart::orange_heart::orange_heart:
44:40 | /ᐠ｡ꞈ｡ᐟ\ 7 [o7]: T__T
44:40 | 莊均復: TSKR
44:40 | ゆり: :orange_heart::orange_heart::orange_heart:
44:40 | (Member (2 months)) Luna: I‘m dying
44:40 | ruyi liu: :loudly_crying_face::loudly_crying_face::loudly_crying_face::loudly_crying_face:
44:40 | (New member) Sumire: thank you
44:41 | (Member (2 months)) Misa-chanみさ: みんな浄化されていく
44:41 | (New member) しょこらんぬSyoko-rannu: 耐えられない色気も、おにぃ居るなら頑張れる……:_AlbanCry::_AlbanCry::_AlbanCry:
44:42 | Nguyễn Hiệp: TSKR
44:42 | (Member (2 months)) Arella : :_AlbanCry::_AlbanCry::_AlbanCry: fr fr?
44:42 | tokappi: thank you
44:42 | ホタル Hotaru: 今日まで生きてこれてよかった:loudly_crying_face::loudly_crying_face::loudly_crying_face:
44:43 | saki-chan💫💜: thank u
44:43 | Xiashi: :place_of_worship::place_of_worship::place_of_worship::place_of_worship::place_of_worship:
